GEO_ID,pop_2020,households,Household_size,median_age,sex_ratio,value_2020,pre1940_units,pre1940_p,new_units,new_units_p,overcrowd,overcrowd_p,housing_units,owner_occupied,diploma,diploma_p,bachelor_p,Median_Income,Mean_Income,pop_poverty,BPL_pop,BPL_p,pop_16to64,state,county,tract,NAME,FIPS,median_value,median_rent,unemployed_p,white,black,native,asian,hawaiian,other_race,two_race,not_hispanic,hispanic,child18_poverty,BPL_child
1400000US32003000101,7122,2039,3.47,32,114.7,209500,0,0,0,0,32,1.6,2039,1346,1293,30.9,12.6,61637,76871,7068,598,8.5,4716,32,3,101,"Census Tract 1.01, Clark County, Nevada",32003000101,223000,1317,5.8,1515,835,25,229,13,0,270,2887,4235,1971,157
1400000US32003000103,6342,2053,3.09,35.6,123.6,204400,6,0.3,0,0,50,2.4,2053,812,1822,42.7,11.2,47326,54388,6212,1183,19,4220,32,3,103,"Census Tract 1.03, Clark County, Nevada",32003000103,188000,965,3,1797,308,73,231,271,0,199,2879,3463,1446,425
1400000US32003000105,4285,1206,3.55,32.5,94.4,217900,19,1.6,0,0,9,0.7,1206,960,662,24.9,8.7,76932,71689,4285,188,4.4,2963,32,3,105,"Census Tract 1.05, Clark County, Nevada",32003000105,210000,1299,6.4,812,117,22,88,0,0,102,1141,3144,1032,23
1400000US32003000106,4407,2052,2.15,46.3,127.5,214800,19,0.9,0,0,10,0.5,2052,774,1057,32,21,30233,36744,4407,1018,23.1,2398,32,3,106,"Census Tract 1.06, Clark County, Nevada",32003000106,190800,847,4.3,1449,582,0,306,171,32,56,2596,1811,861,127
1400000US32003000107,4016,1539,2.61,34.8,113.1,175900,0,0,0,0,52,3.4,1539,327,854,32.8,10.6,36278,44715,4016,615,15.3,2400,32,3,107,"Census Tract 1.07, Clark County, Nevada",32003000107,182100,974,0.6,684,685,1,497,12,1,115,1995,2021,1186,183
1400000US32003000108,3533,1059,3.34,29.9,70.2,162400,0,0,34,3.2,57,5.4,1059,515,820,41.2,6.8,38036,48397,3447,947,27.5,2122,32,3,108,"Census Tract 1.08, Clark County, Nevada",32003000108,165800,841,7.4,604,290,7,67,0,0,57,1025,2508,1105,511
1400000US32003000109,3398,1134,3,40.7,116.3,186100,0,0,0,0,8,0.7,1134,643,1038,45,12.5,38547,53803,3398,872,25.7,2039,32,3,109,"Census Tract 1.09, Clark County, Nevada",32003000109,168600,1101,6,1311,470,27,178,7,0,128,2121,1277,826,280
1400000US32003000201,3693,1416,2.61,37.7,130.2,247700,0,0,0,0,184,13,1416,373,885,38.5,9.9,26881,98278,3693,1530,41.4,2098,32,3,201,"Census Tract 2.01, Clark County, Nevada",32003000201,234100,915,3.5,527,1245,31,225,31,0,360,2419,1274,1109,584
1400000US32003000203,4327,1589,2.62,32.6,95.1,209400,0,0,0,0,142,8.9,1589,394,725,25.8,16.3,44583,57325,4148,1193,28.8,3043,32,3,203,"Census Tract 2.03, Clark County, Nevada",32003000203,206600,1153,6.6,1332,1138,94,121,0,0,194,2879,1448,925,396
1400000US32003000204,1317,397,3.07,46.9,117.7,347100,5,1.3,0,0,0,0,397,319,286,28.5,37.6,108125,118641,1220,94,7.7,807,32,3,204,"Census Tract 2.04, Clark County, Nevada",32003000204,353800,1835,3.2,694,160,4,119,12,0,19,1008,309,265,75
1400000US32003000301,2789,1016,2.39,34.5,142.9,180000,7,0.7,0,0,23,2.3,1016,295,539,27.8,7.7,27350,35234,2768,948,34.2,1941,32,3,301,"Census Tract 3.01, Clark County, Nevada",32003000301,140600,793,7.2,273,1105,9,62,0,0,83,1532,1257,556,223
1400000US32003000302,4424,1533,2.89,27.8,74.4,181500,0,0,0,0,66,4.3,1533,494,651,25.8,5.6,21930,33493,4407,1695,38.5,2656,32,3,302,"Census Tract 3.02, Clark County, Nevada",32003000302,162200,831,9,405,2315,0,7,116,0,65,2908,1516,1495,689
1400000US32003000401,2416,670,2.13,50.3,223,160000,3,0.4,23,3.4,22,3.3,670,130,627,35.5,9.8,12576,27289,2325,1466,63.1,1735,32,3,401,"Census Tract 4.01, Clark County, Nevada",32003000401,160000,509,12.6,801,740,130,264,30,1,100,2066,350,227,161
1400000US32003000402,2867,1289,2.22,37.5,102.3,-666666666,8,0.6,0,0,15,1.2,1289,84,656,35,11,22313,32827,2858,1160,40.6,2149,32,3,402,"Census Tract 4.02, Clark County, Nevada",32003000402,133300,701,5.1,364,635,0,12,0,56,167,1234,1633,642,264
1400000US32003000403,2385,1201,1.99,53.6,120.8,115200,17,1.4,0,0,0,0,1201,72,741,40.6,6.5,18353,31290,2385,890,37.3,1263,32,3,403,"Census Tract 4.03, Clark County, Nevada",32003000403,116100,572,1.8,763,273,13,245,22,23,8,1347,1038,370,172
1400000US32003000510,5470,1323,4.13,31,105,179400,0,0,12,0.9,36,2.7,1323,624,1112,33.4,5.8,52398,57846,5470,1406,25.7,3726,32,3,510,"Census Tract 5.10, Clark County, Nevada",32003000510,177500,1011,5,307,269,0,103,8,0,124,811,4659,1627,621
1400000US32003000513,3080,1156,2.66,35.8,70.1,162000,0,0,0,0,8,0.7,1156,440,704,34.9,6.2,33804,41340,3060,663,21.7,2038,32,3,513,"Census Tract 5.13, Clark County, Nevada",32003000513,147200,1062,2.9,1193,195,0,46,0,0,8,1442,1638,591,261
1400000US32003000514,5930,1774,3.34,27.5,99.5,130800,0,0,63,3.6,118,6.7,1774,539,1283,38.4,5.9,34056,49748,5792,1422,24.6,3513,32,3,514,"Census Tract 5.14, Clark County, Nevada",32003000514,99900,998,4.4,754,360,11,491,37,46,161,1860,4070,1757,711
1400000US32003000515,5088,1468,3.47,30.7,92.5,142800,15,1,0,0,83,5.7,1468,571,1066,38.2,2.8,37207,50236,5088,1577,31,3260,32,3,515,"Census Tract 5.15, Clark County, Nevada",32003000515,166300,1197,3.9,699,624,0,234,0,0,67,1624,3464,1652,710
1400000US32003000516,5864,1397,3.52,29.9,116.5,136400,41,2.9,75,5.4,161,11.5,1397,573,923,27.1,5,27633,42128,4879,1837,37.7,3920,32,3,516,"Census Tract 5.16, Clark County, Nevada",32003000516,133500,848,3,680,892,6,296,12,0,131,2017,3847,1758,931
1400000US32003000517,4786,1496,3.2,30.6,107.7,218100,25,1.7,25,1.7,6,0.4,1496,668,935,31.9,7.3,47439,60820,4786,712,14.9,3075,32,3,517,"Census Tract 5.17, Clark County, Nevada",32003000517,204900,1122,3,397,405,0,98,35,0,57,992,3794,1320,169
1400000US32003000518,5601,1879,2.97,28.2,105,147000,0,0,22,1.2,7,0.4,1879,868,1038,31.5,4.6,35426,41771,5567,1749,31.4,3610,32,3,518,"Census Tract 5.18, Clark County, Nevada",32003000518,139300,927,3.3,646,738,0,178,0,0,116,1678,3923,1619,640
1400000US32003000519,4934,1285,3.83,26,79.5,214000,0,0,39,3,32,2.5,1285,507,821,32.3,5.5,38125,46760,4909,1233,25.1,3211,32,3,519,"Census Tract 5.19, Clark County, Nevada",32003000519,205100,946,8.5,928,614,0,86,0,2,0,1630,3304,1724,641
1400000US32003000520,1831,524,3.49,31.8,96.7,191700,0,0,0,0,18,3.4,524,270,356,31.2,1.5,49500,55924,1831,289,15.8,1187,32,3,520,"Census Tract 5.20, Clark County, Nevada",32003000520,135400,1122,2,127,14,0,27,0,0,21,189,1642,537,174
1400000US32003000521,3096,1393,2.21,36.2,100.5,-666666666,27,1.9,0,0,37,2.7,1393,136,607,30,2.7,22583,29623,3096,959,31,2003,32,3,521,"Census Tract 5.21, Clark County, Nevada",32003000521,107700,689,7.2,561,445,0,31,0,23,217,1277,1819,770,279
