state,county,tract,NAME,GEO_ID,DP04_0089E,DP04_0134E,DP03_0005PE
32,003,003250,"Census Tract 32.50, Clark County, Nevada",1400000US32003003250,238600,1594,8.2
32,003,003251,"Census Tract 32.51, Clark County, Nevada",1400000US32003003251,284900,1704,3.0
32,003,003252,"Census Tract 32.52, Clark County, Nevada",1400000US32003003252,238400,1362,7.4
32,003,003253,"Census Tract 32.53, Clark County, Nevada",1400000US32003003253,158200,1249,9.5
32,003,003254,"Census Tract 32.54, Clark County, Nevada",1400000US32003003254,123700,1114,4.7
32,003,003260,"Census Tract 32.60, Clark County, Nevada",1400000US32003003260,107200,1082,8.3
32,003,003261,"Census Tract 32.61, Clark County, Nevada",1400000US32003003261,150700,1076,6.3
32,003,003262,"Census Tract 32.62, Clark County, Nevada",1400000US32003003262,233500,1322,1.2
32,003,003307,"Census Tract 33.07, Clark County, Nevada",1400000US32003003307,171600,1419,7.3
32,003,003308,"Census Tract 33.08, Clark County, Nevada",1400000US32003003308,293600,2083,7.5
32,003,003309,"Census Tract 33.09, Clark County, Nevada",1400000US32003003309,264700,1234,6.2
32,003,003310,"Census Tract 33.10, Clark County, Nevada",1400000US32003003310,345100,1747,7.3
32,003,003311,"Census Tract 33.11, Clark County, Nevada",1400000US32003003311,168500,1418,5.8
32,003,003312,"Census Tract 33.12, Clark County, Nevada",1400000US32003003312,302100,2221,5.4
32,003,003313,"Census Tract 33.13, Clark County, Nevada",1400000US32003003313,171000,1399,6.6
32,003,003314,"Census Tract 33.14, Clark County, Nevada",1400000US32003003314,285000,1489,4.1
32,003,003315,"Census Tract 33.15, Clark County, Nevada",1400000US32003003315,184300,1300,5.3
32,003,003316,"Census Tract 33.16, Clark County, Nevada",1400000US32003003316,249300,1894,5.7
32,003,003317,"Census Tract 33.17, Clark County, Nevada",1400000US32003003317,155700,1302,4.9
32,003,003318,"Census Tract 33.18, Clark County, Nevada",1400000US32003003318,172900,1332,6.5
32,003,003319,"Census Tract 33.19, Clark County, Nevada",1400000US32003003319,174100,1134,5.1
32,003,003320,"Census Tract 33.20, Clark County, Nevada",1400000US32003003320,191200,1123,2.6
32,003,003321,"Census Tract 33.21, Clark County, Nevada",1400000US32003003321,378500,2163,2.0
32,003,003426,"Census Tract 34.26, Clark County, Nevada",1400000US32003003426,171000,973,11.5
32,003,003427,"Census Tract 34.27, Clark County, Nevada",1400000US32003003427,117700,956,12.5
32,003,003428,"Census Tract 34.28, Clark County, Nevada",1400000US32003003428,71200,969,15.5
32,003,003429,"Census Tract 34.29, Clark County, Nevada",1400000US32003003429,110100,768,7.7
32,003,003431,"Census Tract 34.31, Clark County, Nevada",1400000US32003003431,90000,826,9.5
32,003,003617,"Census Tract 36.17, Clark County, Nevada",1400000US32003003617,93300,1082,3.5
32,003,003619,"Census Tract 36.19, Clark County, Nevada",1400000US32003003619,278300,2092,2.9
32,003,003430,"Census Tract 34.30, Clark County, Nevada",1400000US32003003430,101500,739,9.6
32,003,003616,"Census Tract 36.16, Clark County, Nevada",1400000US32003003616,95900,981,5.2
32,003,003618,"Census Tract 36.18, Clark County, Nevada",1400000US32003003618,212300,1134,5.9
32,003,003620,"Census Tract 36.20, Clark County, Nevada",1400000US32003003620,228900,1390,5.5
32,003,003621,"Census Tract 36.21, Clark County, Nevada",1400000US32003003621,187800,1231,2.9
32,003,003622,"Census Tract 36.22, Clark County, Nevada",1400000US32003003622,183900,1471,2.3
32,003,003623,"Census Tract 36.23, Clark County, Nevada",1400000US32003003623,199800,1057,6.5
32,003,003624,"Census Tract 36.24, Clark County, Nevada",1400000US32003003624,159600,1185,3.2
32,003,003625,"Census Tract 36.25, Clark County, Nevada",1400000US32003003625,170900,1147,6.4
32,003,003626,"Census Tract 36.26, Clark County, Nevada",1400000US32003003626,182100,1481,9.4
32,003,003627,"Census Tract 36.27, Clark County, Nevada",1400000US32003003627,152900,1126,8.6
32,003,003628,"Census Tract 36.28, Clark County, Nevada",1400000US32003003628,165000,1393,9.0
32,003,003629,"Census Tract 36.29, Clark County, Nevada",1400000US32003003629,157300,1262,5.3
32,003,003630,"Census Tract 36.30, Clark County, Nevada",1400000US32003003630,145400,1326,6.7
32,003,003631,"Census Tract 36.31, Clark County, Nevada",1400000US32003003631,157000,1342,10.6
32,003,003632,"Census Tract 36.32, Clark County, Nevada",1400000US32003003632,154100,1449,5.2
32,003,003633,"Census Tract 36.33, Clark County, Nevada",1400000US32003003633,133000,1365,16.7
32,003,003634,"Census Tract 36.34, Clark County, Nevada",1400000US32003003634,134800,1264,12.0
32,003,001402,"Census Tract 14.02, Clark County, Nevada",1400000US32003001402,86200,1179,9.3
32,003,001501,"Census Tract 15.01, Clark County, Nevada",1400000US32003001501,27500,654,10.3
32,003,002206,"Census Tract 22.06, Clark County, Nevada",1400000US32003002206,73500,698,7.1
32,003,002207,"Census Tract 22.07, Clark County, Nevada",1400000US32003002207,-666666666,706,9.8
32,003,002302,"Census Tract 23.02, Clark County, Nevada",1400000US32003002302,204200,1105,7.0
32,003,002303,"Census Tract 23.03, Clark County, Nevada",1400000US32003002303,495700,2071,0.9
32,003,002604,"Census Tract 26.04, Clark County, Nevada",1400000US32003002604,58100,794,8.1
32,003,002605,"Census Tract 26.05, Clark County, Nevada",1400000US32003002605,-666666666,735,16.5
32,003,002837,"Census Tract 28.37, Clark County, Nevada",1400000US32003002837,217500,1787,6.3
32,003,002838,"Census Tract 28.38, Clark County, Nevada",1400000US32003002838,207100,1192,4.9
32,003,002841,"Census Tract 28.41, Clark County, Nevada",1400000US32003002841,367100,1194,1.9
32,003,002842,"Census Tract 28.42, Clark County, Nevada",1400000US32003002842,170600,1406,6.4
32,003,002843,"Census Tract 28.43, Clark County, Nevada",1400000US32003002843,224300,1396,5.7
32,003,002844,"Census Tract 28.44, Clark County, Nevada",1400000US32003002844,136300,1233,4.0
32,003,002845,"Census Tract 28.45, Clark County, Nevada",1400000US32003002845,151900,1068,6.2
32,003,002846,"Census Tract 28.46, Clark County, Nevada",1400000US32003002846,185000,1109,5.7
32,003,004715,"Census Tract 47.15, Clark County, Nevada",1400000US32003004715,76800,943,6.7
32,003,004712,"Census Tract 47.12, Clark County, Nevada",1400000US32003004712,25800,694,14.4
32,003,005012,"Census Tract 50.12, Clark County, Nevada",1400000US32003005012,128900,1328,8.3
32,003,005107,"Census Tract 51.07, Clark County, Nevada",1400000US32003005107,169000,1329,5.6
32,003,005200,"Census Tract 52, Clark County, Nevada",1400000US32003005200,84800,642,11.5
32,003,000101,"Census Tract 1.01, Clark County, Nevada",1400000US32003000101,110100,1189,6.4
32,003,001715,"Census Tract 17.15, Clark County, Nevada",1400000US32003001715,102700,1063,7.7
32,003,001717,"Census Tract 17.17, Clark County, Nevada",1400000US32003001717,223100,-888888888,6.8
32,003,002822,"Census Tract 28.22, Clark County, Nevada",1400000US32003002822,88100,1045,10.0
32,003,002823,"Census Tract 28.23, Clark County, Nevada",1400000US32003002823,67600,842,6.8
32,003,002825,"Census Tract 28.25, Clark County, Nevada",1400000US32003002825,150200,1275,11.2
