state,county,tract,NAME,GEO_ID,S0101_C01_001E,S1101_C01_001E,S1101_C01_002E,S0101_C01_032E,S0101_C01_033E,S2506_C01_009E,S2504_C01_015E,S2504_C02_015E,S2504_C01_009E,S2504_C02_009E,S2501_C01_008E,S2501_C02_008E,S2504_C01_001E,S2504_C03_001E,S1501_C01_009E,S1501_C02_009E,S1501_C02_015E,S1901_C01_012E,S1901_C01_013E,S1701_C01_001E,S1701_C02_001E,S1701_C03_001E,S2303_C01_001E
32,3,3250,"Census Tract 32.50, Clark County, Nevada",1400000US32003003250,5583,1892,2.95,69.6,19.5,241500,0,0,0,0,0,0,1892,754,686,19.6,40.8,76522,103978,5583,868,15.5,3557
32,3,3251,"Census Tract 32.51, Clark County, Nevada",1400000US32003003251,2388,844,2.83,89.5,40.7,250600,0,0,0,0,0,0,844,207,292,17.8,42.6,102976,145567,2380,215,9,1348
32,3,3252,"Census Tract 32.52, Clark County, Nevada",1400000US32003003252,4815,1799,2.68,38.8,16.3,250300,0.6,0,0,0,0,0,1799,760,682,18.1,39.8,80938,83489,4815,336,7,3570
32,3,3253,"Census Tract 32.53, Clark County, Nevada",1400000US32003003253,3929,1287,3.05,50.2,16.5,149500,0,0,0,0,0.8,1.4,1287,568,840,32.7,14.5,56209,68772,3918,441,11.3,2677
32,3,3254,"Census Tract 32.54, Clark County, Nevada",1400000US32003003254,3885,1419,2.73,49.7,17.9,121800,0.9,1.8,1.1,0,0,0,1419,703,636,22.6,26.1,49181,64256,3874,592,15.3,2633
32,3,3260,"Census Tract 32.60, Clark County, Nevada",1400000US32003003260,3527,1496,2.36,65.9,27.8,105200,0,0,0,0,0,0,1496,711,710,27.9,20.6,45333,53725,3527,325,9.2,2171
32,3,3261,"Census Tract 32.61, Clark County, Nevada",1400000US32003003261,2594,984,2.64,59.8,26.6,139000,0,0,0,0,0,0,984,453,698,35.6,20.2,59135,77098,2594,313,12.1,1769
32,3,3262,"Census Tract 32.62, Clark County, Nevada",1400000US32003003262,2853,1670,1.71,490.7,490.7,247000,0,0,0,0,0,0,1670,187,839,29.5,34.3,58103,79005,2853,144,5,483
32,3,3307,"Census Tract 33.07, Clark County, Nevada",1400000US32003003307,6416,2098,3.06,72.7,24.5,165100,0.7,1,0,0,0,0,2098,633,1241,29.8,22.8,67333,77744,6323,549,8.7,3807
32,3,3308,"Census Tract 33.08, Clark County, Nevada",1400000US32003003308,3026,922,3.28,48.8,18.5,288500,0.7,0,0,0,0.7,0,922,87,555,26.2,25.1,91765,98186,3020,154,5.1,2108
