state,county,tract,NAME,GEO_ID,S0101_C01_001E,S1101_C01_001E,S1101_C01_002E,S0101_C01_032E,S0101_C01_033E,S2506_C01_009E,S2504_C01_015E,S2504_C02_015E,S2504_C01_009E,S2504_C02_009E,S2501_C01_008E,S2501_C02_008E,S2504_C01_001E,S2504_C03_001E,S1501_C01_009E,S1501_C02_009E,S1501_C01_015E,S1501_C02_015E,S1901_C01_012E,S1901_C01_013E,S1701_C01_001E,S1701_C02_001E,S1701_C03_001E,S2303_C01_001E
32,003,000101,"Census Tract 1.01, Clark County, Nevada",1400000US32003000101,7122,2039,3.47,32.0,114.7,209500,0,0.0,0,0.0,32,1.6,2039,1346,1293,30.9,526,12.6,61637,76871,7068,598,8.5,4716
32,003,000103,"Census Tract 1.03, Clark County, Nevada",1400000US32003000103,6342,2053,3.09,35.6,123.6,204400,6,0.3,0,0.0,50,2.4,2053,812,1822,42.7,478,11.2,47326,54388,6212,1183,19.0,4220
32,003,000105,"Census Tract 1.05, Clark County, Nevada",1400000US32003000105,4285,1206,3.55,32.5,94.4,217900,19,1.6,0,0.0,9,0.7,1206,960,662,24.9,233,8.7,76932,71689,4285,188,4.4,2963
32,003,000106,"Census Tract 1.06, Clark County, Nevada",1400000US32003000106,4407,2052,2.15,46.3,127.5,214800,19,0.9,0,0.0,10,0.5,2052,774,1057,32.0,696,21.0,30233,36744,4407,1018,23.1,2398
32,003,000107,"Census Tract 1.07, Clark County, Nevada",1400000US32003000107,4016,1539,2.61,34.8,113.1,175900,0,0.0,0,0.0,52,3.4,1539,327,854,32.8,275,10.6,36278,44715,4016,615,15.3,2400
32,003,000108,"Census Tract 1.08, Clark County, Nevada",1400000US32003000108,3533,1059,3.34,29.9,70.2,162400,0,0.0,34,3.2,57,5.4,1059,515,820,41.2,135,6.8,38036,48397,3447,947,27.5,2122
32,003,000109,"Census Tract 1.09, Clark County, Nevada",1400000US32003000109,3398,1134,3.0,40.7,116.3,186100,0,0.0,0,0.0,8,0.7,1134,643,1038,45.0,288,12.5,38547,53803,3398,872,25.7,2039
32,003,000201,"Census Tract 2.01, Clark County, Nevada",1400000US32003000201,3693,1416,2.61,37.7,130.2,247700,0,0.0,0,0.0,184,13.0,1416,373,885,38.5,227,9.9,26881,98278,3693,1530,41.4,2098
32,003,000203,"Census Tract 2.03, Clark County, Nevada",1400000US32003000203,4327,1589,2.62,32.6,95.1,209400,0,0.0,0,0.0,142,8.9,1589,394,725,25.8,457,16.3,44583,57325,4148,1193,28.8,3043
32,003,000204,"Census Tract 2.04, Clark County, Nevada",1400000US32003000204,1317,397,3.07,46.9,117.7,347100,5,1.3,0,0.0,0,0.0,397,319,286,28.5,377,37.6,108125,118641,1220,94,7.7,807
