state,county,tract,NAME,GEO_ID,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03001_002E,B03001_003E,B17006_001E,B17006_002E
32,003,000101,"Census Tract 1.01, Clark County, Nevada",1400000US32003000101,1515,835,25,229,13,0,270,2887,4235,1971,157
32,003,000103,"Census Tract 1.03, Clark County, Nevada",1400000US32003000103,1797,308,73,231,271,0,199,2879,3463,1446,425
32,003,000105,"Census Tract 1.05, Clark County, Nevada",1400000US32003000105,812,117,22,88,0,0,102,1141,3144,1032,23
32,003,000106,"Census Tract 1.06, Clark County, Nevada",1400000US32003000106,1449,582,0,306,171,32,56,2596,1811,861,127
32,003,000107,"Census Tract 1.07, Clark County, Nevada",1400000US32003000107,684,685,1,497,12,1,115,1995,2021,1186,183
32,003,000108,"Census Tract 1.08, Clark County, Nevada",1400000US32003000108,604,290,7,67,0,0,57,1025,2508,1105,511
32,003,000109,"Census Tract 1.09, Clark County, Nevada",1400000US32003000109,1311,470,27,178,7,0,128,2121,1277,826,280
32,003,000201,"Census Tract 2.01, Clark County, Nevada",1400000US32003000201,527,1245,31,225,31,0,360,2419,1274,1109,584
32,003,000203,"Census Tract 2.03, Clark County, Nevada",1400000US32003000203,1332,1138,94,121,0,0,194,2879,1448,925,396
32,003,000204,"Census Tract 2.04, Clark County, Nevada",1400000US32003000204,694,160,4,119,12,0,19,1008,309,265,75
32,003,000301,"Census Tract 3.01, Clark County, Nevada",1400000US32003000301,273,1105,9,62,0,0,83,1532,1257,556,223
32,003,000302,"Census Tract 3.02, Clark County, Nevada",1400000US32003000302,405,2315,0,7,116,0,65,2908,1516,1495,689
32,003,000401,"Census Tract 4.01, Clark County, Nevada",1400000US32003000401,801,740,130,264,30,1,100,2066,350,227,161
32,003,000402,"Census Tract 4.02, Clark County, Nevada",1400000US32003000402,364,635,0,12,0,56,167,1234,1633,642,264
32,003,000403,"Census Tract 4.03, Clark County, Nevada",1400000US32003000403,763,273,13,245,22,23,8,1347,1038,370,172
32,003,000510,"Census Tract 5.10, Clark County, Nevada",1400000US32003000510,307,269,0,103,8,0,124,811,4659,1627,621
32,003,000513,"Census Tract 5.13, Clark County, Nevada",1400000US32003000513,1193,195,0,46,0,0,8,1442,1638,591,261
32,003,000514,"Census Tract 5.14, Clark County, Nevada",1400000US32003000514,754,360,11,491,37,46,161,1860,4070,1757,711
32,003,000515,"Census Tract 5.15, Clark County, Nevada",1400000US32003000515,699,624,0,234,0,0,67,1624,3464,1652,710
32,003,000516,"Census Tract 5.16, Clark County, Nevada",1400000US32003000516,680,892,6,296,12,0,131,2017,3847,1758,931
